id	descricao	nome	unidade	preco	preco_venda	atacado	preco_atacado	Qtde_Atacado	preco_promocao	data_Promocao	inicio_promocao	ICMS	NCM	CTS	estoque	estoqueminimo	ctrlEstoque	vender_inteiro	pro_individual	UsarBalanca	grupo	Subgrupo	marca	categoria	temanho	ForaDeUso	Validade	TipoRelatorio	Lucro	comissao	foto	obs	fornecedor	idFornecedor	status	cozinha	idcategoria	CriaBotao	imagem	grade	obsText
86	CLORO GEL 5 LITROS	NULL	UNID	9.52	39.90	39.90	39.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	30.38	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
87	ALCOOL PERFUMADO CEREJA AVELA 2 LITROS	NULL	UNID	0.00	10.00	10.00	9.800	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	10.00	0.00	NULL			0	0	0	3	1	87.jpg	0	NULL
88	ALCOOL PERFUMADO BAMBOO 2 LITROS	NULL	UNID	0.00	9.80	9.90	9.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	5.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	9.80	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
94	ALCOOL PERFUMADO BAMBOO 5 LITROS	NULL	UNID	0.00	19.90	19.90	19.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	19.90	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
95	ALCOOL PERFUMADO CEREJA AVELA 5 LITROS	NULL	UNID	0.00	19.90	19.90	19.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	19.90	0.00	NULL			0	0	0	3	1	95.jpg	0	NULL
96	PINHO GEL 2 LITROS	NULL	UNID	0.00	14.20	14.20	10.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	14.20	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
97	PINHO GEL 5 LITROS	NULL	UNID	0.00	19.90	10.00	19.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	19.90	0.00	NULL			0	0	0	0	1	sem_imagem.png	0	NULL
98	PASTA DE BRILHO 500GR	NULL	UNID	9.00	9.00	9.00	9.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	14.000	5.000	0	0	1	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	0.00	0.00	NULL			0	0	0	3	1	98.jpg	0	NULL
99	LIMPA TUDO 5 LITROS	NULL	UNID	24.90	24.90	24.90	24.900	0	0.00	26/06/2024	26/06/2024	NULL	0	0	2.000	5.000	1	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	0.00	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
100	LIMPA TUDO 2 LITROS	NULL	UNID	4.90	15.00	15.00	15.000	0	0.00	26/06/2024	26/06/2024	NULL	0	0	1.000	5.000	0	0	0	0	PADR├âO	PADR├âO	PADR├âO	PADR├âO	PADR├âO	N├âO	NULL	NULL	10.10	0.00	NULL			0	0	0	3	1	sem_imagem.png	0	NULL
